time,equity,session
2026-04-14 09:05:00-04:00,9939.72,London
2026-04-17 08:25:00-04:00,10138.51,London
2026-04-24 08:45:00-04:00,10037.13,London
2026-04-28 07:10:00-04:00,10237.87,London
2026-04-28 08:10:00-04:00,10135.49,London
2026-05-05 06:40:00-04:00,10034.14,London
2026-05-05 08:00:00-04:00,9933.8,London
2026-05-06 07:25:00-04:00,9834.46,London
2026-05-08 07:50:00-04:00,9736.11,London
2026-05-11 08:20:00-04:00,9930.84,London
2026-05-13 06:25:00-04:00,9831.53,London
2026-05-13 08:20:00-04:00,10028.16,London
2026-05-18 06:40:00-04:00,9927.88,London
2026-05-20 07:25:00-04:00,10126.43,London
2026-05-20 08:20:00-04:00,10213.23,London
2026-05-20 09:25:00-04:00,10111.1,London
2026-05-21 08:55:00-04:00,10199.8,London
2026-05-26 06:10:00-04:00,10097.8,London
2026-05-27 09:15:00-04:00,10268.58,London
2026-05-28 06:40:00-04:00,10165.9,London
2026-05-29 08:00:00-04:00,10064.24,London
2026-06-01 08:15:00-04:00,9963.6,London
2026-06-04 07:45:00-04:00,10162.87,London
2026-06-04 07:25:00-04:00,10366.13,London
2026-06-09 08:40:00-04:00,10419.44,London
2026-06-09 08:45:00-04:00,10627.83,London
2026-06-10 06:40:00-04:00,10521.55,London
2026-06-10 09:30:00-04:00,10637.47,London
2026-06-12 06:00:00-04:00,10531.1,London
