entry_time,exit_time,pattern,side,entry_price,exit_price,stop,target,qty,pnl,result
2026-04-14 06:35:00-04:00,2026-04-14 09:05:00-04:00,bearish_engulfing,short,4786.1,4799.0,4807.5,4743.3,4.6729,-60.28,TIMEOUT
2026-04-17 07:40:00-04:00,2026-04-17 08:25:00-04:00,bullish_engulfing,long,4820.7,4837.5,4812.3,4837.5,11.8324,198.79,TP
2026-04-24 07:20:00-04:00,2026-04-24 08:45:00-04:00,bullish_engulfing,long,4725.1,4708.3,4708.3,4758.7,6.0347,-101.39,SL
2026-04-28 05:30:00-04:00,2026-04-28 07:10:00-04:00,bearish_engulfing,short,4625.7,4612.1,4632.5,4612.1,14.7609,200.74,TP
2026-04-28 07:45:00-04:00,2026-04-28 08:10:00-04:00,tweezer_top,short,4571.7,4588.2,4588.2,4538.7,6.2048,-102.38,SL
2026-05-05 06:30:00-04:00,2026-05-05 06:40:00-04:00,tweezer_bottom,long,4563.6,4557.3,4557.3,4576.2,16.0873,-101.35,SL
2026-05-05 07:40:00-04:00,2026-05-05 08:00:00-04:00,tweezer_bottom,long,4573.6,4566.8,4566.8,4587.2,14.7554,-100.34,SL
2026-05-06 06:50:00-04:00,2026-05-06 07:25:00-04:00,tweezer_bottom,long,4732.9,4718.8,4718.8,4761.1,7.0452,-99.34,SL
2026-05-08 07:00:00-04:00,2026-05-08 07:50:00-04:00,tweezer_bottom,long,4735.3,4725.2,4725.2,4755.5,9.7375,-98.34,SL
2026-05-11 07:00:00-04:00,2026-05-11 08:20:00-04:00,tweezer_bottom,long,4679.4,4693.8,4672.2,4693.8,13.5229,194.72,TP
2026-05-13 06:05:00-04:00,2026-05-13 06:25:00-04:00,tweezer_bottom,long,4716.6,4706.5,4706.5,4736.8,9.8324,-99.31,SL
2026-05-13 06:10:00-04:00,2026-05-13 08:20:00-04:00,tweezer_top,short,4709.6,4692.4,4718.2,4692.4,11.4319,196.63,TP
2026-05-18 06:30:00-04:00,2026-05-18 06:40:00-04:00,tweezer_top,short,4536.0,4544.3,4544.3,4519.4,12.0824,-100.28,SL
2026-05-20 05:30:00-04:00,2026-05-20 07:25:00-04:00,tweezer_bottom,long,4484.6,4503.4,4475.2,4503.4,10.5617,198.56,TP
2026-05-20 05:50:00-04:00,2026-05-20 08:20:00-04:00,tweezer_bottom,long,4492.1,4498.7,4484.4,4507.5,13.1509,86.8,TIMEOUT
2026-05-20 07:50:00-04:00,2026-05-20 09:25:00-04:00,bullish_engulfing,long,4500.6,4494.5,4494.5,4512.8,16.7427,-102.13,SL
2026-05-21 06:25:00-04:00,2026-05-21 08:55:00-04:00,bearish_engulfing,short,4519.3,4505.0,4535.6,4486.7,6.203,88.7,TIMEOUT
2026-05-26 05:30:00-04:00,2026-05-26 06:10:00-04:00,bearish_engulfing,short,4518.5,4527.2,4527.2,4501.1,11.7236,-102.0,SL
2026-05-27 06:45:00-04:00,2026-05-27 09:15:00-04:00,tweezer_top,short,4478.7,4442.0,4500.4,4435.3,4.6534,170.78,TIMEOUT
2026-05-28 06:05:00-04:00,2026-05-28 06:40:00-04:00,tweezer_bottom,long,4431.8,4421.8,4421.8,4451.8,10.2686,-102.69,SL
2026-05-29 07:50:00-04:00,2026-05-29 08:00:00-04:00,tweezer_bottom,long,4564.9,4559.8,4559.8,4575.1,19.9328,-101.66,SL
2026-06-01 07:15:00-04:00,2026-06-01 08:15:00-04:00,tweezer_bottom,long,4540.0,4533.1,4533.1,4553.8,14.5861,-100.64,SL
2026-06-04 07:05:00-04:00,2026-06-04 07:45:00-04:00,bullish_engulfing,long,4505.2,4522.8,4496.4,4522.8,11.3219,199.27,TP
2026-06-04 07:15:00-04:00,2026-06-04 07:25:00-04:00,tweezer_bottom,long,4506.2,4516.0,4501.3,4516.0,20.7389,203.26,TP
2026-06-09 06:10:00-04:00,2026-06-09 08:40:00-04:00,tweezer_bottom,long,4359.6,4365.0,4349.1,4380.6,9.8725,53.31,TIMEOUT
2026-06-09 06:50:00-04:00,2026-06-09 08:45:00-04:00,tweezer_bottom,long,4359.2,4368.8,4354.4,4368.8,21.7058,208.39,TP
2026-06-10 06:05:00-04:00,2026-06-10 06:40:00-04:00,tweezer_top,short,4182.5,4193.8,4193.8,4159.9,9.4053,-106.28,SL
2026-06-10 07:00:00-04:00,2026-06-10 09:30:00-04:00,bearish_engulfing,short,4184.3,4165.9,4201.0,4150.9,6.3003,115.92,TIMEOUT
2026-06-12 05:30:00-04:00,2026-06-12 06:00:00-04:00,bullish_engulfing,long,4247.3,4240.6,4240.6,4260.7,15.8775,-106.37,SL
