entry_time,exit_time,pattern,side,entry_price,exit_price,stop,target,qty,pnl,result
2026-04-06 10:50:00-04:00,2026-04-06 11:00:00-04:00,tweezer_bottom,long,4710.3,4703.5,4703.5,4723.9,14.7063,-100.0,SL
2026-04-07 11:30:00-04:00,2026-04-07 11:50:00-04:00,bearish_engulfing,short,4672.0,4679.0,4679.0,4658.0,14.1429,-99.0,SL
2026-04-08 10:25:00-04:00,2026-04-08 10:50:00-04:00,bearish_engulfing,short,4795.1,4770.9,4807.2,4770.9,8.0999,196.02,TP
2026-04-09 11:30:00-04:00,2026-04-09 14:00:00-04:00,bullish_engulfing,long,4817.7,4810.0,4803.0,4847.1,6.8006,-52.37,TIMEOUT
2026-04-10 11:55:00-04:00,2026-04-10 12:05:00-04:00,tweezer_top,short,4785.8,4769.2,4794.1,4769.2,11.9811,198.89,TP
2026-04-13 11:00:00-04:00,2026-04-13 12:15:00-04:00,bearish_engulfing,short,4730.4,4743.6,4743.6,4704.0,7.6844,-101.44,SL
2026-04-14 10:15:00-04:00,2026-04-14 11:05:00-04:00,bullish_engulfing,long,4828.5,4817.6,4817.6,4850.3,9.213,-100.42,SL
2026-04-14 10:25:00-04:00,2026-04-14 10:40:00-04:00,tweezer_bottom,long,4833.0,4822.4,4822.4,4854.2,9.3789,-99.42,SL
2026-04-15 11:00:00-04:00,2026-04-15 11:30:00-04:00,bearish_engulfing,short,4832.6,4815.2,4841.3,4815.2,11.3133,196.85,TP
2026-04-21 10:30:00-04:00,2026-04-21 10:40:00-04:00,tweezer_top,short,4786.3,4771.3,4793.8,4771.3,13.3855,200.78,TP
2026-04-24 11:40:00-04:00,2026-04-24 14:10:00-04:00,tweezer_bottom,long,4744.4,4740.3,4733.7,4765.8,9.5703,-39.24,TIMEOUT
2026-05-05 10:05:00-04:00,2026-05-05 10:10:00-04:00,tweezer_bottom,long,4594.7,4586.3,4586.3,4611.5,12.1431,-102.01,SL
2026-05-05 10:10:00-04:00,2026-05-05 10:25:00-04:00,tweezer_top,short,4584.1,4595.1,4595.1,4562.1,9.1806,-100.99,SL
2026-05-07 10:45:00-04:00,2026-05-07 11:30:00-04:00,tweezer_bottom,long,4768.8,4760.3,4760.3,4785.8,11.762,-99.98,SL
2026-05-08 10:10:00-04:00,2026-05-08 10:15:00-04:00,tweezer_bottom,long,4741.4,4735.2,4735.2,4753.8,15.9648,-98.98,SL
2026-05-08 11:10:00-04:00,2026-05-08 13:25:00-04:00,tweezer_top,short,4717.5,4730.8,4730.8,4690.9,7.3676,-97.99,SL
2026-05-12 11:10:00-04:00,2026-05-12 11:20:00-04:00,tweezer_top,short,4672.0,4652.2,4681.9,4652.2,9.7988,194.01,TP
2026-05-18 10:20:00-04:00,2026-05-18 10:40:00-04:00,bearish_engulfing,short,4563.8,4544.8,4573.3,4544.8,10.4155,197.89,TP
2026-05-18 10:30:00-04:00,2026-05-18 13:00:00-04:00,tweezer_top,short,4554.1,4561.0,4567.7,4526.9,7.421,-51.2,TIMEOUT
2026-05-18 11:00:00-04:00,2026-05-18 12:10:00-04:00,bearish_engulfing,short,4542.0,4551.6,4551.6,4522.8,10.4597,-100.41,SL
2026-05-20 11:15:00-04:00,2026-05-20 13:45:00-04:00,tweezer_bottom,long,4546.4,4536.6,4526.5,4586.2,4.9955,-48.96,TIMEOUT
2026-05-22 10:10:00-04:00,2026-05-22 11:05:00-04:00,bearish_engulfing,short,4498.0,4511.8,4511.8,4470.4,7.1683,-98.92,SL
2026-05-28 10:05:00-04:00,2026-05-28 10:45:00-04:00,tweezer_bottom,long,4469.1,4506.1,4450.6,4506.1,5.2936,195.86,TP
2026-05-29 10:00:00-04:00,2026-05-29 10:20:00-04:00,bullish_engulfing,long,4578.9,4565.6,4565.6,4605.5,7.5106,-99.89,SL
2026-05-29 10:50:00-04:00,2026-05-29 13:25:00-04:00,tweezer_bottom,long,4588.0,4592.7,4567.6,4628.8,4.8476,22.78,TIMEOUT
2026-06-02 10:15:00-04:00,2026-06-02 11:05:00-04:00,bearish_engulfing,short,4525.6,4536.8,4536.8,4503.2,8.8501,-99.12,SL
2026-06-03 10:45:00-04:00,2026-06-03 11:10:00-04:00,bullish_engulfing,long,4482.2,4475.0,4475.0,4496.6,13.6285,-98.13,SL
2026-06-05 10:20:00-04:00,2026-06-05 11:00:00-04:00,tweezer_top,short,4382.3,4395.4,4395.4,4356.1,7.4157,-97.15,SL
2026-06-08 10:45:00-04:00,2026-06-08 10:50:00-04:00,tweezer_top,short,4342.6,4348.0,4348.0,4331.8,17.8105,-96.18,SL
2026-06-08 11:15:00-04:00,2026-06-08 11:55:00-04:00,tweezer_bottom,long,4356.0,4368.8,4349.6,4368.8,14.8773,190.43,TP
2026-06-10 11:45:00-04:00,2026-06-10 12:00:00-04:00,tweezer_top,short,4141.0,4153.2,4153.2,4116.6,7.9603,-97.12,SL
2026-06-11 11:05:00-04:00,2026-06-11 12:10:00-04:00,tweezer_bottom,long,4101.8,4123.6,4090.9,4123.6,8.8209,192.29,TP
2026-06-12 10:40:00-04:00,2026-06-12 10:50:00-04:00,bearish_engulfing,short,4205.0,4213.4,4213.4,4188.2,11.6751,-98.07,SL
2026-06-12 10:50:00-04:00,2026-06-12 13:20:00-04:00,bullish_engulfing,long,4228.0,4241.3,4197.5,4289.0,3.1832,42.34,TIMEOUT
